iter	Logloss
0	0.6868538546
1	0.6821387547
2	0.6777256852
3	0.6726371585
4	0.667054651
5	0.6620123715
6	0.6568455023
7	0.6528185755
8	0.64847498
9	0.6458797732
10	0.641388776
11	0.6367810199
12	0.632950134
13	0.6291411322
14	0.6257472371
15	0.622086433
16	0.6185368856
17	0.6154942691
18	0.6120693139
19	0.6086670391
20	0.6054313778
21	0.6018149076
22	0.5982028173
23	0.5950608816
24	0.5916130013
25	0.5888887814
26	0.5856654951
27	0.5831929191
28	0.5805997662
29	0.5772524513
30	0.574872182
31	0.5719545471
32	0.5704642644
33	0.5674193023
34	0.5659970588
35	0.5629391976
36	0.5605653512
37	0.5582216327
38	0.5555337733
39	0.5529651106
40	0.5506629312
41	0.5484898184
42	0.5465237892
43	0.5438092047
44	0.5421065571
45	0.539905354
46	0.5383419451
47	0.5362051995
48	0.5338535952
49	0.5317870799
50	0.5302532442
51	0.5288420759
52	0.5271426737
53	0.5255406022
54	0.5240753496
55	0.522489072
56	0.5205745848
57	0.5189768279
58	0.5172605786
59	0.5159281717
60	0.5143699214
61	0.5132415507
62	0.5115907978
63	0.5103079419
64	0.5091155951
65	0.5075670368
66	0.5063249304
67	0.5045654428
68	0.5027994379
69	0.5015522628
70	0.4997904692
71	0.4983945352
72	0.4970073389
73	0.4962439426
74	0.4949404421
75	0.4934497311
76	0.4924191825
77	0.4911248146
78	0.4903990608
79	0.4895673602
80	0.488382622
81	0.4873513735
82	0.4864825838
83	0.4858157543
84	0.4848556816
85	0.4839874972
86	0.4831018042
87	0.4822031561
88	0.4808123108
89	0.4794759743
90	0.4787631279
91	0.4777296466
92	0.4768048558
93	0.4763256023
94	0.4756005616
95	0.474820814
96	0.4735316593
97	0.4723563071
98	0.4715653247
99	0.470755602
100	0.4699746301
101	0.468794806
102	0.4677720897
103	0.4670837107
104	0.4661723108
105	0.4654866025
106	0.4646585289
107	0.4642723926
108	0.4631509384
109	0.4627954708
110	0.4620769348
111	0.4618546128
112	0.4612004209
113	0.4603277638
114	0.4595903981
115	0.4586777245
116	0.4582447901
117	0.457910615
118	0.457225439
119	0.4564817135
120	0.4561708263
121	0.4557169664
122	0.4549823128
123	0.4545340883
124	0.4542572335
125	0.4536974931
126	0.4528552141
127	0.4524379545
128	0.452184557
129	0.4515438272
130	0.4510833982
131	0.4502453297
132	0.4497474159
133	0.449295717
134	0.4488920922
135	0.4480918702
136	0.4478336259
137	0.4475587257
138	0.4471098677
139	0.4468879526
140	0.446685269
141	0.446372763
142	0.4460757864
143	0.4456126172
144	0.4452274451
145	0.4449709912
146	0.4444457718
147	0.4441251224
148	0.4433903471
149	0.4432346622
150	0.4429513807
151	0.4427096874
152	0.4423678467
153	0.4418354179
154	0.4413067901
155	0.4408597444
156	0.4405297268
157	0.4402667777
158	0.4398244446
159	0.4395435588
160	0.4392906183
161	0.4391004175
162	0.4389403519
163	0.4386925814
164	0.4384080616
165	0.4380765486
166	0.4379092014
167	0.4376888332
168	0.4373983718
169	0.4368026889
170	0.4363078863
171	0.4359732253
172	0.4356747954
173	0.4356350994
174	0.4354121534
175	0.4348572935
176	0.4345095103
177	0.4342892816
178	0.4338994784
179	0.433596597
180	0.4335063544
181	0.4333332665
182	0.4329136886
183	0.4324562039
184	0.4319674862
185	0.4317007769
186	0.4315857003
187	0.4314146278
188	0.4311852136
189	0.4308937337
190	0.4304984543
191	0.4303280893
192	0.4300459631
193	0.4296865974
194	0.429549844
195	0.429357857
196	0.4289527784
197	0.4287424945
198	0.4285468546
199	0.4283975624
200	0.428184296
201	0.4279961472
202	0.4278344824
203	0.4274689171
204	0.4272675109
205	0.4270683968
206	0.4269377288
207	0.4267752353
208	0.4264233309
209	0.4264039568
210	0.4258681446
211	0.4258207642
212	0.4256188754
213	0.4255608293
214	0.425250659
215	0.4250621977
216	0.4249403698
217	0.424767223
218	0.4243187611
219	0.4238363768
220	0.4236435434
221	0.4234323206
222	0.4233856497
223	0.4230253639
224	0.4228243634
225	0.4227117065
226	0.4224748402
227	0.4222711194
228	0.4221258159
229	0.4218439831
230	0.4215878396
231	0.4215372978
232	0.4212565193
